date,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,LT_Rev,Rp_ew_cc
1/3/2000,1.39,0.96,-0.96,-1.2,-0.09,0.02,1.03,-0.79,1.17,0.005490457
2/3/2000,-0.08,0.03,0.38,0.76,0.48,0.02,1.27,0.37,-0.6,-0.005150756
3/3/2000,2.3,-0.22,-1.08,-0.82,-0.58,0.02,1.9,-1.04,0.56,0.004658299
6/3/2000,-0.77,1.74,-0.16,-1,0.39,0.02,1.11,-2.3,0.91,-0.000682187
7/3/2000,-2.2,0.76,0.85,-0.62,-0.07,0.02,0.87,-0.72,1.07,0.004475842
8/3/2000,0.69,-0.69,-0.17,0.4,-1.5,0.02,-0.5,1.33,-0.63,0.001948476
9/3/2000,2.45,-0.72,-1.02,0.46,-1.28,0.02,0.81,-0.13,-0.08,0.001702446
10/3/2000,-0.43,0.23,0.34,0.2,-0.01,0.02,0.43,-0.46,0.47,0.000676945
13/03/2000,-1.48,-0.83,1.22,1.29,-0.04,0.02,-1.69,1.45,-0.37,0.004635789
14/03/2000,-2.33,-1.02,1.53,2.19,-0.42,0.02,-2.26,2.63,-1.87,0.002650958
15/03/2000,0.83,-4.33,1.82,3.12,1.43,0.02,-5.29,5.29,-1.58,0.002642302
16/03/2000,4.25,-3.26,0.53,1.23,-0.25,0.02,-2.41,2.29,-2.05,-0.002530239
17/03/2000,0.62,0.23,-0.95,-0.15,-0.48,0.02,1.77,-0.53,-0.23,0.009804011
20/03/2000,-1.71,-2.57,2.29,2.91,0.45,0.02,-1.41,0.14,-0.55,0.006366562
21/03/2000,1.95,-2.41,-0.56,0.6,-1.17,0.02,-0.76,-0.26,-1.29,-0.001000529
22/03/2000,1.31,2.37,-1.79,-1.92,-0.55,0.02,2.87,0.8,0.8,-0.003496807
23/03/2000,1.48,-0.8,0.2,0.81,-0.12,0.02,0.64,-0.03,-0.32,-0.002268238
24/03/2000,0.11,-0.38,0.09,0.12,-0.21,0.02,-0.06,-0.12,-0.57,-0.008913368
27/03/2000,-0.39,0.24,-0.27,-0.2,0.37,0.02,0.99,0.14,-0.04,-0.006408177
28/03/2000,-1.34,-0.94,0.92,0.83,-0.04,0.02,-1.41,0.71,-0.15,0.003793582
29/03/2000,-1,-2.26,2.48,2.5,0.83,0.02,-2.84,-1.35,-1.09,-0.013427036
30/03/2000,-1.76,-1.58,2.35,1.52,0.71,0.02,-3.43,-1.2,-0.76,-0.007948817
31/03/2000,1.19,0.32,-0.17,-1.69,-0.01,0.02,1.46,1.2,1.06,0.000673264
3/4/2000,-1.67,-3.43,2.26,4.06,2.2,0.024,-4.93,-3.6,-2,-0.000908302
4/4/2000,-1.2,-1.97,0.52,1.72,0.54,0.024,-2.02,-0.97,-1.16,-0.009173094
5/4/2000,0.01,1.59,-0.94,-1.26,0.23,0.024,0.97,1.85,0.77,0.010715225
6/4/2000,1.47,1.47,-0.77,-1.49,0.8,0.024,2.12,2.88,1.34,0.005403271
7/4/2000,1.42,1.27,-1,-0.82,-1.33,0.024,2.47,3.13,0.86,0.005991557
10/4/2000,-1.95,-2.71,2.52,2.81,1.09,0.024,-3.35,-4.01,-1.47,-0.008577399
11/4/2000,-1.01,-1.9,2.29,2.02,1.13,0.024,-2.74,-3.88,-0.25,-0.000697225
12/4/2000,-2.97,-1.93,3.04,2.05,1.45,0.024,-5.89,-6.5,-1.13,-4.17E-05
13/04/2000,-1.8,-0.02,1.26,0.18,0.79,0.024,-1.64,-0.96,0.85,0.004745152
